,scenario,subscenario,gamma,samp1_6,samp2_6,samp3_6,samp4_6,samp5_6,samp6_6,samp7_6,samp8_6,samp9_6,samp10_6,samp11_6,samp12_6,samp13_6,samp14_6,samp15_6,samp16_6,samp17_6,samp18_6,samp19_6,samp20_6,samp21_6,samp22_6,samp23_6,samp24_6,samp25_6,samp1_5,samp2_5,samp3_5,samp4_5,samp5_5,samp6_5,samp7_5,samp8_5,samp9_5,samp10_5,samp11_5,samp12_5,samp13_5,samp14_5,samp15_5,samp16_5,samp17_5,samp18_5,samp19_5,samp20_5,samp21_5,samp22_5,samp23_5,samp24_5,samp25_5,samp1_4,samp2_4,samp3_4,samp4_4,samp5_4,samp6_4,samp7_4,samp8_4,samp9_4,samp10_4,samp11_4,samp12_4,samp13_4,samp14_4,samp15_4,samp16_4,samp17_4,samp18_4,samp19_4,samp20_4,samp21_4,samp22_4,samp23_4,samp24_4,samp25_4,samp1_3,samp2_3,samp3_3,samp4_3,samp5_3,samp6_3,samp7_3,samp8_3,samp9_3,samp10_3,samp11_3,samp12_3,samp13_3,samp14_3,samp15_3,samp16_3,samp17_3,samp18_3,samp19_3,samp20_3,samp21_3,samp22_3,samp23_3,samp24_3,samp25_3,samp1_2,samp2_2,samp3_2,samp4_2,samp5_2,samp6_2,samp7_2,samp8_2,samp9_2,samp10_2,samp11_2,samp12_2,samp13_2,samp14_2,samp15_2,samp16_2,samp17_2,samp18_2,samp19_2,samp20_2,samp21_2,samp22_2,samp23_2,samp24_2,samp25_2,samp1_1,samp2_1,samp3_1,samp4_1,samp5_1,samp6_1,samp7_1,samp8_1,samp9_1,samp10_1,samp11_1,samp12_1,samp13_1,samp14_1,samp15_1,samp16_1,samp17_1,samp18_1,samp19_1,samp20_1,samp21_1,samp22_1,samp23_1,samp24_1,samp25_1
23,NC1,23,0.055,0.240525,0.199825,0.1359,0.148925,0.167775,0.13565,0.09705,0.0866,0.1389,0.161925,0.07935,0.06255,0.05505,0.091,0.12605,0.09635,0.09135,0.06765,0.0598,0.07785,0.094825,0.101625,0.074675,0.05875,0.05975,0.25925,0.198925,0.1286,0.159475,0.181975,0.1316,0.0904,0.077175,0.1419,0.160875,0.077075,0.0571,0.050225,0.0913,0.12985,0.09695,0.0959,0.065475,0.059925,0.0796,0.09875,0.1033,0.07565,0.0579,0.0565,0.27645,0.1873,0.1232,0.1665,0.264675,0.12375,0.079625,0.0667,0.148375,0.165475,0.068725,0.051875,0.043825,0.09645,0.132375,0.0947,0.09875,0.067425,0.057675,0.076675,0.102475,0.107475,0.07425,0.0585,0.055775,0.309525,0.174075,0.103475,0.182225,0.538575,0.116325,0.074975,0.052,0.1428,0.17815,0.06255,0.0431,0.0314,0.088925,0.140525,0.093075,0.093475,0.06875,0.051975,0.0834,0.318675,0.1141,0.076,0.0607,NA,0.3176,0.165175,0.0921,0.299375,NA,0.115625,0.072675,0.05295,NA,NA,0.0565,0.0487,0.042425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3474,0.330025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NC1,24,0.06,0.2191,0.1761,0.0939,0.09655,0.123325,0.122625,0.07865,0.055475,0.08835,0.098725,0.0688,0.047675,0.03615,0.057275,0.07705,0.081125,0.07355,0.0468,0.0402,0.049425,0.0823,0.083125,0.058325,0.040475,0.037,0.235475,0.1711,0.0874,0.100575,0.215225,0.120275,0.071125,0.04835,0.08615,0.101525,0.06865,0.044725,0.031225,0.057825,0.079275,0.083475,0.07535,0.04535,0.038575,0.049225,0.07975,0.08135,0.05945,0.040075,0.036925,0.262,0.159575,0.0786,0.11355,0.47675,0.114175,0.06025,0.0445,0.090175,0.103625,0.059075,0.038425,0.02555,0.0562,0.080775,0.0829,0.0759,0.049475,0.0356,0.0458,0.08485,0.0835,0.06195,0.040025,0.036875,0.290825,0.1338,0.066425,0.171075,0.80815,0.110525,0.053825,0.034575,0.084725,0.122,0.055275,0.031275,0.019325,0.056675,0.0805,0.08355,0.070775,0.047,0.032475,0.0541,0.31265,0.1055,0.060975,0.0423,NA,0.302975,0.116475,0.05855,0.5941,NA,0.1041,0.052125,0.034075,NA,NA,0.049125,0.0352,0.02705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.325775,0.257275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NC2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NC2,2,1.00E-05,0.996175,0.996025,0.997225,1,1,0.996325,0.99535,0.998075,1,1,0.998225,0.9986,0.999025,1,1,1,1,1,1,1,1,1,1,1,1,0.9981,0.99715,0.9979,1,1,0.996975,0.997525,0.99925,1,1,0.9983,0.999075,0.9986,1,1,1,1,1,1,1,1,1,1,1,1,0.999,0.999175,0.998425,1,1,0.998775,0.9986,1,1,1,0.998575,1,1,1,1,1,1,1,1,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NC2,3,5.00E-05,0.97595,0.97575,0.982,1,1,0.980375,0.978275,0.988625,1,1,0.986925,0.9883,0.9928,1,1,1,1,1,1,1,1,1,1,1,1,0.9844,0.982525,0.988725,1,1,0.984875,0.986,0.989175,1,1,0.990775,0.990825,0.992875,1,1,1,1,1,1,1,1,1,1,1,1,0.9888,0.99035,0.9925,1,1,0.9899,0.9919,0.99465,1,1,0.993125,0.995275,0.99555,1,1,1,1,1,1,NA,1,1,1,NA,NA,0.993725,0.997125,0.9984,NA,NA,0.99665,0.9987,1,NA,NA,0.9988,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998725,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NC2,4,1.00E-04,0.95425,0.95485,0.9696,1,1,0.9532,0.9607,0.9794,1,1,0.97935,0.97785,0.986925,1,1,1,1,1,1,1,1,1,1,1,1,0.965675,0.96725,0.978725,1,1,0.969375,0.975,0.9832,1,1,0.976225,0.981075,0.986825,1,1,1,1,1,1,1,1,1,1,1,1,0.976225,0.982775,0.9859,1,1,0.983475,0.985575,0.9886,1,1,0.9855,0.987375,0.992675,1,1,1,1,1,1,NA,1,1,1,NA,NA,0.98805,0.993575,0.99745,NA,NA,0.994,0.997475,1,NA,NA,0.9974,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9957,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NC2,5,0.00025,0.888525,0.895175,0.9307,1,1,0.89355,0.9051,0.949,1,1,0.946775,0.9464,0.969525,1,1,1,1,1,1,1,1,1,1,1,1,0.917125,0.924425,0.9456,1,1,0.925375,0.9317,0.955475,1,1,0.950725,0.954,0.965375,1,1,1,1,1,1,1,1,1,1,1,1,0.940675,0.955575,0.965275,1,1,0.951675,0.96295,0.969275,1,1,0.9661,0.97075,0.978,1,1,1,1,1,1,NA,1,1,1,NA,NA,0.97345,0.983625,0.991425,NA,NA,0.984075,0.992275,1,NA,NA,0.99165,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.987675,0.99995,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NC2,6,5.00E-04,0.812325,0.8234,0.872975,1,1,0.817425,0.823275,0.90315,1,1,0.899325,0.903525,0.94515,1,1,1,1,0.999775,0.999275,0.999875,1,1,1,0.999975,1,0.847375,0.85955,0.89225,1,1,0.859625,0.867025,0.914725,1,1,0.902675,0.9152,0.932675,1,1,1,1,0.999725,0.99915,0.99995,1,1,1,0.999925,1,0.8905,0.910775,0.92735,1,1,0.910875,0.92865,0.943075,1,1,0.933,0.946525,0.956975,1,1,1,1,1,0.99935,NA,1,1,1,NA,NA,0.945075,0.96695,0.981925,NA,NA,0.967325,0.9831,1,NA,NA,0.9849,0.999975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.973825,0.99865,NA,NA,NA,0.999875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.995925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NC2,7,0.00075,0.7441,0.751075,0.81855,1,1,0.750075,0.76365,0.8648,0.999125,1,0.856725,0.858825,0.9187,0.9995,0.99905,1,0.999775,0.99955,0.997925,0.998125,1,0.999125,0.999175,1,0.9996,0.7841,0.80465,0.8558,1,1,0.803125,0.820275,0.87215,0.9992,0.999925,0.87045,0.878625,0.907275,0.9994,1,1,0.999825,0.999625,0.9984,0.998475,1,1,0.999125,1,0.999225,0.847225,0.874,0.89455,1,1,0.869875,0.89445,0.92045,0.99905,0.99995,0.902025,0.91895,0.938025,0.999375,1,1,1,0.9995,0.99945,NA,1,1,1,NA,NA,0.920925,0.947375,0.972175,NA,NA,0.9527,0.974025,0.999075,NA,NA,0.9759,0.9998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9654,0.9956,NA,NA,NA,0.998025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.995125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NC2,8,0.001,0.69665,0.697625,0.7662,0.9995,1,0.7044,0.7152,0.836075,0.996075,0.999,0.823475,0.8353,0.893175,0.994675,0.9973,1,0.99735,0.99835,0.9977,0.995825,1,0.996,0.9977,0.998375,0.998575,0.749625,0.7598,0.809325,0.999625,1,0.75455,0.777675,0.837125,0.9963,0.997975,0.832975,0.838025,0.877925,0.994475,0.99845,1,0.99765,0.996875,0.997975,0.99675,1,0.996425,0.997325,0.998425,0.99905,0.814775,0.833075,0.865125,1,1,0.8391,0.8562,0.895475,0.997525,0.998475,0.874625,0.895025,0.91405,0.994325,0.999075,1,0.99835,0.998075,0.999175,NA,1,0.997875,0.999,NA,NA,0.897275,0.931,0.96125,NA,NA,0.9386,0.9708,0.995025,NA,NA,0.970125,0.995875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.951775,0.99455,NA,NA,NA,0.99635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
