,scenario,subscenario,gamma,samp1_6,samp2_6,samp3_6,samp4_6,samp5_6,samp6_6,samp7_6,samp8_6,samp9_6,samp10_6,samp11_6,samp12_6,samp13_6,samp14_6,samp15_6,samp16_6,samp17_6,samp18_6,samp19_6,samp20_6,samp21_6,samp22_6,samp23_6,samp24_6,samp25_6,samp1_5,samp2_5,samp3_5,samp4_5,samp5_5,samp6_5,samp7_5,samp8_5,samp9_5,samp10_5,samp11_5,samp12_5,samp13_5,samp14_5,samp15_5,samp16_5,samp17_5,samp18_5,samp19_5,samp20_5,samp21_5,samp22_5,samp23_5,samp24_5,samp25_5,samp1_4,samp2_4,samp3_4,samp4_4,samp5_4,samp6_4,samp7_4,samp8_4,samp9_4,samp10_4,samp11_4,samp12_4,samp13_4,samp14_4,samp15_4,samp16_4,samp17_4,samp18_4,samp19_4,samp20_4,samp21_4,samp22_4,samp23_4,samp24_4,samp25_4,samp1_3,samp2_3,samp3_3,samp4_3,samp5_3,samp6_3,samp7_3,samp8_3,samp9_3,samp10_3,samp11_3,samp12_3,samp13_3,samp14_3,samp15_3,samp16_3,samp17_3,samp18_3,samp19_3,samp20_3,samp21_3,samp22_3,samp23_3,samp24_3,samp25_3,samp1_2,samp2_2,samp3_2,samp4_2,samp5_2,samp6_2,samp7_2,samp8_2,samp9_2,samp10_2,samp11_2,samp12_2,samp13_2,samp14_2,samp15_2,samp16_2,samp17_2,samp18_2,samp19_2,samp20_2,samp21_2,samp22_2,samp23_2,samp24_2,samp25_2,samp1_1,samp2_1,samp3_1,samp4_1,samp5_1,samp6_1,samp7_1,samp8_1,samp9_1,samp10_1,samp11_1,samp12_1,samp13_1,samp14_1,samp15_1,samp16_1,samp17_1,samp18_1,samp19_1,samp20_1,samp21_1,samp22_1,samp23_1,samp24_1,samp25_1
1,NC1bis,1,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NC1bis,2,1.00E-05,0.00395,0.004175,0.0039,NA,NA,0.00445,0.004525,0.00395,NA,NA,0.004275,0.004025,0.00485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0031,0.00215,0.0033,NA,NA,0.002325,0.002875,0.0027,NA,NA,0.002575,0.0033,0.00275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001475,0.001375,0.001175,NA,NA,0.001225,0.0011,0.0018,NA,NA,0.001375,0.0011,0.001725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NC1bis,3,5.00E-05,0.02155,0.021825,0.021675,NA,NA,0.02175,0.022025,0.021375,NA,NA,0.020175,0.01995,0.021275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016125,0.016525,0.0166,NA,NA,0.015525,0.016475,0.015425,NA,NA,0.0153,0.016875,0.015075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011,0.01015,0.00855,NA,NA,0.008675,0.008175,0.0091,NA,NA,0.0097,0.00785,0.008025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00465,0.004275,0.003675,NA,NA,0.004075,0.0035,0.002275,NA,NA,0.004375,0.0026,0.0029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002225,0.001225,0,NA,NA,0.00135,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NC1bis,4,1.00E-04,0.045575,0.046275,0.04475,NA,NA,0.0456,0.04225,0.043225,NA,NA,0.0428,0.0413,0.0431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.034775,0.035825,0.032425,NA,NA,0.032225,0.03195,0.0311,NA,NA,0.031475,0.030675,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023025,0.02195,0.0205,NA,NA,0.021125,0.021125,0.019,NA,NA,0.0203,0.01925,0.0177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010925,0.00935,0.00795,NA,NA,0.008625,0.007625,0.006575,NA,NA,0.008225,0.00735,0.00595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005625,0.002675,0.00115,NA,NA,0.002475,0.0017,0,NA,NA,0.0012,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001475,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NC1bis,5,0.00025,0.109475,0.106875,0.10225,NA,NA,0.10615,0.10215,0.105175,NA,NA,0.104,0.101425,0.10155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08435,0.081625,0.07625,NA,NA,0.079675,0.07825,0.07625,NA,NA,0.0772,0.076125,0.0769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.054025,0.0562,0.049225,NA,NA,0.0502,0.04885,0.047075,NA,NA,0.048475,0.04655,0.0462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027075,0.02395,0.0213,NA,NA,0.022425,0.022,0.017275,NA,NA,0.019125,0.0184,0.013875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012425,0.008,0.005075,NA,NA,0.007325,0.00465,0.00295,NA,NA,0.00505,0.0014,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00375,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NC1bis,6,5.00E-04,0.193375,0.193175,0.188875,NA,NA,0.188175,0.188,0.186575,NA,NA,0.1935,0.19015,0.186625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1503,0.15145,0.1466,NA,NA,0.143875,0.1458,0.14215,NA,NA,0.148025,0.1393,0.13785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1039,0.10315,0.0956,NA,NA,0.099525,0.093525,0.093875,NA,NA,0.099425,0.0935,0.09005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052925,0.051,0.04405,NA,NA,0.045625,0.04165,0.0354,NA,NA,0.040725,0.0357,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026175,0.0164,0.012025,NA,NA,0.017725,0.010125,0.005575,NA,NA,0.0103,0.004775,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0078,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NC1bis,7,0.00075,0.2611,0.261625,0.25915,NA,NA,0.259075,0.24905,0.255275,NA,NA,0.2564,0.257775,0.255975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21145,0.20375,0.20475,NA,NA,0.200725,0.197525,0.197475,NA,NA,0.20305,0.1974,0.2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150525,0.1463,0.1366,NA,NA,0.14165,0.131325,0.132475,NA,NA,0.138425,0.132475,0.12705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078675,0.071575,0.062725,NA,NA,0.067475,0.059825,0.053725,NA,NA,0.061925,0.052925,0.04445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039525,0.027175,0.01925,NA,NA,0.02645,0.015675,0.00865,NA,NA,0.016325,0.00635,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012025,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NC1bis,8,0.001,0.31645,0.305575,0.3132,NA,NA,0.306725,0.30215,0.31165,NA,NA,0.310975,0.313525,0.326275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2551,0.253275,0.253475,NA,NA,0.24955,0.247475,0.251925,NA,NA,0.253025,0.2453,0.251925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.189,0.184125,0.17665,NA,NA,0.177375,0.171225,0.170525,NA,NA,0.1764,0.167525,0.164025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.103325,0.0916,0.0846,NA,NA,0.086,0.079175,0.07095,NA,NA,0.077825,0.069975,0.059175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049275,0.0365,0.0248,NA,NA,0.03445,0.02075,0.009175,NA,NA,0.02025,0.0094,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01545,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NC1bis,9,0.0025,0.45455,0.4511,0.4721,NA,NA,0.451125,0.4544,0.5016,NA,NA,0.50005,0.502425,0.529175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.414925,0.4031,0.431475,NA,NA,0.405375,0.409125,0.432825,NA,NA,0.437925,0.4373,0.451925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34355,0.3345,0.34305,NA,NA,0.331175,0.322425,0.336375,NA,NA,0.3426,0.326675,0.324475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.219825,0.19375,0.181375,NA,NA,0.194925,0.173075,0.15405,NA,NA,0.1739,0.15475,0.135825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116325,0.081425,0.06035,NA,NA,0.08275,0.05365,0.02425,NA,NA,0.049425,0.025525,2.50E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03965,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NC1bis,10,0.005,0.4821,0.4822,0.514,NA,NA,0.477875,0.484,0.5608,NA,NA,0.5629,0.570875,0.619525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.473475,0.47595,0.498775,NA,NA,0.470925,0.46265,0.53065,NA,NA,0.543975,0.536175,0.575475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445975,0.434975,0.44935,NA,NA,0.42795,0.42245,0.457075,NA,NA,0.4587,0.45455,0.47045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.335075,0.314,0.29035,NA,NA,0.304975,0.27525,0.25675,NA,NA,0.28215,0.257425,0.226425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2028,0.15415,0.11115,NA,NA,0.1437,0.098825,0.048225,NA,NA,0.088225,0.04635,0.001425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.077725,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
