,scenario,subscenario,gamma,samp1_6,samp2_6,samp3_6,samp4_6,samp5_6,samp6_6,samp7_6,samp8_6,samp9_6,samp10_6,samp11_6,samp12_6,samp13_6,samp14_6,samp15_6,samp16_6,samp17_6,samp18_6,samp19_6,samp20_6,samp21_6,samp22_6,samp23_6,samp24_6,samp25_6,samp1_5,samp2_5,samp3_5,samp4_5,samp5_5,samp6_5,samp7_5,samp8_5,samp9_5,samp10_5,samp11_5,samp12_5,samp13_5,samp14_5,samp15_5,samp16_5,samp17_5,samp18_5,samp19_5,samp20_5,samp21_5,samp22_5,samp23_5,samp24_5,samp25_5,samp1_4,samp2_4,samp3_4,samp4_4,samp5_4,samp6_4,samp7_4,samp8_4,samp9_4,samp10_4,samp11_4,samp12_4,samp13_4,samp14_4,samp15_4,samp16_4,samp17_4,samp18_4,samp19_4,samp20_4,samp21_4,samp22_4,samp23_4,samp24_4,samp25_4,samp1_3,samp2_3,samp3_3,samp4_3,samp5_3,samp6_3,samp7_3,samp8_3,samp9_3,samp10_3,samp11_3,samp12_3,samp13_3,samp14_3,samp15_3,samp16_3,samp17_3,samp18_3,samp19_3,samp20_3,samp21_3,samp22_3,samp23_3,samp24_3,samp25_3,samp1_2,samp2_2,samp3_2,samp4_2,samp5_2,samp6_2,samp7_2,samp8_2,samp9_2,samp10_2,samp11_2,samp12_2,samp13_2,samp14_2,samp15_2,samp16_2,samp17_2,samp18_2,samp19_2,samp20_2,samp21_2,samp22_2,samp23_2,samp24_2,samp25_2,samp1_1,samp2_1,samp3_1,samp4_1,samp5_1,samp6_1,samp7_1,samp8_1,samp9_1,samp10_1,samp11_1,samp12_1,samp13_1,samp14_1,samp15_1,samp16_1,samp17_1,samp18_1,samp19_1,samp20_1,samp21_1,samp22_1,samp23_1,samp24_1,samp25_1
1,NC1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NC1,2,1.00E-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NC1,3,5.00E-05,0.985925,0.987475,0.9883,0.98505,0.986625,0.989275,0.98655,0.986825,0.98695,0.987075,0.985625,0.9898,0.986725,0.98665,0.9872,0.98405,0.98675,0.98745,0.98665,0.98365,0.987025,0.985875,0.9864,0.98815,0.98465,0.985625,0.987525,0.98735,0.9881,0.985775,0.98695,0.98695,0.98645,0.985925,0.98515,0.98585,0.9877,0.987275,0.989075,1,0.986575,0.987475,0.9867,0.9999,1,0.987725,0.988675,0.999975,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NC1,4,1.00E-04,0.960925,0.956775,0.959225,0.9625,0.9585,0.9591,0.96215,0.960575,0.9631,0.958725,0.958775,0.9607,0.95865,0.966675,0.969,0.95875,0.959875,0.962275,0.975175,0.9705,0.966025,0.969425,0.971525,0.97335,0.97525,0.9712,0.9735,0.972325,0.97475,0.976325,0.970275,0.97315,0.9719,0.972225,0.970625,0.972375,0.97425,0.97455,0.973525,0.984975,0.97405,0.97665,0.9741,0.98825,0.987375,0.974275,0.9764,0.985025,0.98725,0.987675,0.98505,0.9855,0.987,0.987125,0.982675,0.984875,0.985725,0.985275,0.98495,0.985825,0.986125,0.987475,0.9866,0.987775,0.9853,0.985575,0.9877,0.98655,0.987825,1,0.984475,0.984925,0.98755,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NC1,5,0.00025,0.891825,0.902275,0.901125,0.901225,0.912475,0.904525,0.90035,0.90685,0.9141,0.92325,0.907,0.903925,0.9077,0.91135,0.909075,0.910925,0.906925,0.920975,0.914825,0.923175,0.912575,0.90665,0.910325,0.92135,0.920825,0.9251,0.923225,0.9208,0.93245,0.93755,0.933475,0.926575,0.93445,0.938925,0.931975,0.9291,0.93495,0.93145,0.9335,0.94535,0.93755,0.935875,0.940575,0.94835,0.947225,0.92785,0.9329,0.9379,0.94915,0.946425,0.948525,0.94625,0.9613,0.961925,0.9587,0.946325,0.9603,0.9597,0.9617,0.972,0.960275,0.9622,0.96135,0.97375,0.97205,0.960475,0.9574,0.97285,0.9711,0.97345,0.968875,0.974825,0.97425,0.971925,0.97315,0.972975,0.98765,0.9851,0.985725,1,0.98595,0.98485,0.986175,1,1,0.987975,0.9883,0.98565,1,1,0.988325,1,1,1,1,1,1,1,NA,NA,0.988875,1,1,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NC1,6,5.00E-04,0.8142,0.81415,0.821575,0.810475,0.827475,0.816275,0.815825,0.820425,0.82995,0.823375,0.825475,0.83315,0.835175,0.83025,0.8371,0.8186,0.837475,0.829075,0.837825,0.84775,0.830775,0.83335,0.832025,0.8472,0.8466,0.855925,0.858875,0.856275,0.870475,0.877625,0.853075,0.861875,0.8714,0.8669,0.877925,0.86255,0.8607,0.869775,0.8781,0.88865,0.858825,0.8727,0.87935,0.893975,0.887725,0.88255,0.88085,0.879725,0.887825,0.8952,0.89905,0.9022,0.911725,0.914625,0.9227,0.903825,0.912175,0.91595,0.925525,0.937875,0.9183,0.9148,0.922275,0.93335,0.9349,0.9216,0.923475,0.936125,0.938725,0.946,0.9333,0.937725,0.933075,0.9495,0.9482,0.951475,0.9604,0.958875,0.9732,0.986325,0.961975,0.962025,0.977625,0.987925,0.9871,0.959625,0.9761,0.972125,0.98745,1,0.9724,0.98745,0.986025,1,1,0.98645,0.9976,1,1,NA,0.974725,0.987075,1,NA,NA,0.9867,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NC1,7,0.00075,0.744075,0.747675,0.7553,0.75565,0.76255,0.74765,0.7553,0.764925,0.768375,0.771925,0.759575,0.762175,0.7689,0.77285,0.783725,0.76455,0.7754,0.7759,0.77955,0.78485,0.770325,0.76495,0.780075,0.7868,0.805725,0.790175,0.797025,0.8116,0.806825,0.821325,0.800175,0.81465,0.820225,0.821375,0.8244,0.809275,0.81435,0.824525,0.8286,0.8388,0.815775,0.826275,0.834275,0.84415,0.8466,0.838425,0.83495,0.839225,0.84055,0.8586,0.854775,0.858725,0.86625,0.877,0.893025,0.862275,0.86585,0.881825,0.8899,0.894675,0.868525,0.878,0.877025,0.898125,0.9081,0.88785,0.894,0.900925,0.914025,0.9226,0.8935,0.9014,0.913775,0.931825,0.921975,0.928325,0.9335,0.947125,0.962525,0.974625,0.93205,0.94965,0.9628,0.973025,0.986425,0.94935,0.961925,0.961825,0.9854,1,0.960775,0.974075,0.969725,0.985,1,0.986975,0.986625,0.999875,1,NA,0.958275,0.986125,0.987225,NA,NA,0.98635,0.987225,1,NA,NA,0.998525,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NC1,8,0.001,0.679175,0.685975,0.69795,0.710475,0.7108,0.7001,0.694,0.70165,0.708675,0.7144,0.7058,0.69465,0.709225,0.7256,0.7193,0.715275,0.716525,0.715675,0.7278,0.727675,0.70935,0.72375,0.724925,0.7253,0.729625,0.738475,0.7473,0.759125,0.7657,0.7724,0.75115,0.751,0.768,0.769825,0.78305,0.755875,0.767825,0.772575,0.774225,0.799175,0.768775,0.779275,0.7838,0.7947,0.799325,0.781125,0.77985,0.794725,0.810425,0.80115,0.805525,0.819925,0.833675,0.84575,0.856075,0.826375,0.835125,0.842425,0.860775,0.863875,0.838825,0.8426,0.8533,0.8695,0.879925,0.854325,0.8656,0.87585,0.885975,0.8955,0.857625,0.875075,0.878175,0.889875,0.899875,0.903475,0.913175,0.920925,0.9452,0.96205,0.9127,0.921275,0.93815,0.9613,0.973625,0.933925,0.93575,0.9486,0.9726,0.98605,0.949875,0.964425,0.971625,0.9881,NA,0.973925,0.982875,0.9872,1,NA,0.95195,0.97255,0.986075,NA,NA,0.972625,0.9851,1,NA,NA,0.988075,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.985725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NC1,9,0.0025,0.5281,0.53365,0.55385,0.549925,0.552625,0.537975,0.548975,0.54955,0.54525,0.548825,0.536675,0.55045,0.54915,0.5703,0.57135,0.554375,0.550125,0.556125,0.563575,0.57015,0.561475,0.5587,0.565075,0.571325,0.585575,0.5822,0.5791,0.59265,0.598525,0.618775,0.580375,0.588225,0.59475,0.61345,0.619425,0.597175,0.5959,0.60595,0.61755,0.627625,0.603975,0.613625,0.61805,0.625425,0.641025,0.616025,0.621775,0.6326,0.637925,0.655075,0.638625,0.65975,0.662425,0.6979,0.71075,0.6631,0.671875,0.682175,0.716,0.722375,0.680325,0.685675,0.708725,0.726275,0.741925,0.696775,0.718075,0.727,0.7487,0.76185,0.725975,0.7338,0.7525,0.773625,0.789775,0.78175,0.801775,0.837225,0.86545,0.8943,0.810825,0.8323,0.856825,0.900725,0.93555,0.8314,0.86265,0.879575,0.927575,0.955925,0.8867,0.9009,0.927175,0.96125,NA,0.924,0.946025,0.9735,1,NA,0.8848,0.924325,0.946825,NA,NA,0.929325,0.95845,0.9889,NA,NA,0.959625,0.98765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.962625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NC1,10,0.005,0.499925,0.49275,0.506175,0.512,0.508275,0.5015,0.4983,0.5,0.506725,0.500325,0.488725,0.500525,0.501075,0.509275,0.5098,0.50415,0.50535,0.50315,0.50105,0.503325,0.499925,0.514675,0.4962,0.50255,0.51715,0.49915,0.5135,0.5125,0.51615,0.5216,0.5075,0.519675,0.51845,0.512375,0.526,0.522275,0.511725,0.5222,0.53005,0.538025,0.516675,0.520975,0.517575,0.52105,0.541125,0.5257,0.522875,0.520725,0.532025,0.542075,0.53135,0.549375,0.5681,0.5695,0.587075,0.554175,0.5486,0.574725,0.590925,0.594725,0.5629,0.570725,0.58675,0.5946,0.614675,0.58365,0.58365,0.5925,0.623575,0.646125,0.58575,0.60045,0.621825,0.642375,0.658575,0.6527,0.6821,0.706225,0.76075,0.811075,0.688325,0.7167,0.7575,0.8111,0.85945,0.71925,0.757825,0.78995,0.849825,0.921725,0.78235,0.813025,0.852425,0.92135,1,0.84745,0.8832,0.937525,NA,NA,0.7895,0.847575,0.90295,NA,NA,0.85015,0.9124,0.97245,NA,NA,0.92375,0.9717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.924075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
