,scenario,subscenario,gamma,samp1_6,samp2_6,samp3_6,samp4_6,samp5_6,samp6_6,samp7_6,samp8_6,samp9_6,samp10_6,samp11_6,samp12_6,samp13_6,samp14_6,samp15_6,samp16_6,samp17_6,samp18_6,samp19_6,samp20_6,samp21_6,samp22_6,samp23_6,samp24_6,samp25_6,samp1_5,samp2_5,samp3_5,samp4_5,samp5_5,samp6_5,samp7_5,samp8_5,samp9_5,samp10_5,samp11_5,samp12_5,samp13_5,samp14_5,samp15_5,samp16_5,samp17_5,samp18_5,samp19_5,samp20_5,samp21_5,samp22_5,samp23_5,samp24_5,samp25_5,samp1_4,samp2_4,samp3_4,samp4_4,samp5_4,samp6_4,samp7_4,samp8_4,samp9_4,samp10_4,samp11_4,samp12_4,samp13_4,samp14_4,samp15_4,samp16_4,samp17_4,samp18_4,samp19_4,samp20_4,samp21_4,samp22_4,samp23_4,samp24_4,samp25_4,samp1_3,samp2_3,samp3_3,samp4_3,samp5_3,samp6_3,samp7_3,samp8_3,samp9_3,samp10_3,samp11_3,samp12_3,samp13_3,samp14_3,samp15_3,samp16_3,samp17_3,samp18_3,samp19_3,samp20_3,samp21_3,samp22_3,samp23_3,samp24_3,samp25_3,samp1_2,samp2_2,samp3_2,samp4_2,samp5_2,samp6_2,samp7_2,samp8_2,samp9_2,samp10_2,samp11_2,samp12_2,samp13_2,samp14_2,samp15_2,samp16_2,samp17_2,samp18_2,samp19_2,samp20_2,samp21_2,samp22_2,samp23_2,samp24_2,samp25_2,samp1_1,samp2_1,samp3_1,samp4_1,samp5_1,samp6_1,samp7_1,samp8_1,samp9_1,samp10_1,samp11_1,samp12_1,samp13_1,samp14_1,samp15_1,samp16_1,samp17_1,samp18_1,samp19_1,samp20_1,samp21_1,samp22_1,samp23_1,samp24_1,samp25_1
1,NC1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2,NC1,2,1.00E-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
3,NC1,3,5.00E-05,0.988225,0.987225,0.985125,0.98495,0.98405,0.9869,0.98655,0.984725,0.9861,0.98725,0.986625,0.986575,0.986,0.98755,0.98895,0.9864,0.988175,0.985925,0.98765,0.988225,0.9872,0.986125,0.9872,0.9874,0.985475,1,1,1,0.98925,0.98515,1,0.999475,0.988075,0.987625,0.9875,1,0.9859,0.986425,0.98705,0.984325,0.9881,0.9872,0.98645,0.986525,1,0.989,0.9854,0.99325,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
4,NC1,4,1.00E-04,0.97435,0.97625,0.970775,0.96945,0.967075,0.9711,0.972525,0.9641,0.959275,0.95935,0.975825,0.96325,0.965925,0.957575,0.971475,0.97085,0.961225,0.9598,0.972875,0.972625,0.963675,0.9655,0.97055,0.973475,0.9734,0.985025,0.986475,0.984425,0.97545,0.9764,0.98715,0.987375,0.974125,0.97585,0.9709,0.9856,0.97465,0.97275,0.975175,0.9716,0.97135,0.97615,0.9753,0.972925,0.985075,0.9769,0.973775,0.9828,0.9852,0.98865,1,1,0.988225,0.9871,0.9876,1,0.98635,0.985175,0.98785,0.9854,0.987475,0.9874,0.98585,0.986825,0.986975,0.98685,0.98755,0.986325,0.986575,1,0.987475,0.987175,0.987525,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
5,NC1,5,0.00025,0.920425,0.916375,0.918025,0.910875,0.9148,0.921225,0.90925,0.91775,0.913525,0.913925,0.90865,0.91245,0.9141,0.9079,0.913575,0.909775,0.918925,0.91615,0.912725,0.909525,0.912625,0.9122,0.909725,0.922,0.9186,0.9468,0.95295,0.9498,0.939125,0.936,0.9479,0.950675,0.936625,0.93795,0.93985,0.9433,0.93775,0.94045,0.9381,0.9379,0.93925,0.93455,0.94,0.9355,0.953175,0.934275,0.9364,0.943475,0.946925,0.944325,0.969775,0.976625,0.973775,0.974325,0.970025,0.97275,0.9729,0.974975,0.964925,0.97515,0.972525,0.975025,0.958875,0.959125,0.97425,0.975725,0.965625,0.9621,0.972625,0.974025,0.959,0.976425,0.97325,0.973125,0.972325,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
6,NC1,6,5.00E-04,0.852775,0.85165,0.84265,0.83345,0.8329,0.841025,0.84125,0.83325,0.840825,0.833225,0.8431,0.831725,0.83425,0.8361,0.842125,0.838125,0.837075,0.83245,0.840925,0.841225,0.84385,0.836375,0.840875,0.8493,0.8511,0.892825,0.889175,0.892025,0.885175,0.87425,0.89285,0.895775,0.881175,0.870525,0.878025,0.8878,0.876575,0.87265,0.881,0.88625,0.882175,0.87465,0.880575,0.883275,0.89065,0.884075,0.881975,0.883675,0.88925,0.904125,0.9524,0.94855,0.934675,0.939075,0.93395,0.94645,0.935725,0.938525,0.928275,0.93805,0.93625,0.936775,0.92215,0.93915,0.932525,0.93785,0.9279,0.9234,0.936025,0.9502,0.937875,0.932725,0.935625,0.949425,0.9503,NA,1,1,1,0.98725,1,1,0.98745,0.987075,0.988875,1,0.989,0.988025,0.98725,1,1,0.989,0.987925,1,1,0.9863,0.987325,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
7,NC1,7,0.00075,0.784175,0.7827,0.7801,0.785,0.7785,0.775,0.782,0.7798,0.778775,0.78095,0.771125,0.765875,0.771075,0.7769,0.783925,0.768925,0.77255,0.774225,0.776925,0.777425,0.767575,0.767625,0.778625,0.7858,0.800375,0.852525,0.84515,0.841,0.83975,0.828125,0.845325,0.8449,0.8287,0.8296,0.8263,0.845425,0.832,0.8279,0.826175,0.837975,0.83575,0.828675,0.82885,0.835325,0.843575,0.8294,0.82635,0.832525,0.848525,0.852025,0.91525,0.914525,0.908875,0.901625,0.896025,0.9123,0.898325,0.904925,0.89805,0.89995,0.91115,0.89725,0.895575,0.88925,0.903675,0.9006,0.896125,0.904625,0.913275,0.9107,0.8974,0.902575,0.90255,0.913525,0.923125,NA,1,1,0.985425,0.9853,1,0.987825,0.989025,0.97305,0.985225,1,0.986125,0.974025,0.97355,0.9874,0.9849,0.974975,0.9743,0.98725,1,0.985975,0.98615,0.9855,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
8,NC1,8,0.001,0.746075,0.735,0.713575,0.71875,0.719325,0.722925,0.733475,0.724825,0.7245,0.720025,0.730875,0.723675,0.721325,0.7343,0.732325,0.72505,0.72585,0.736525,0.741175,0.748125,0.741175,0.7323,0.740775,0.752375,0.74085,0.81335,0.79995,0.7981,0.7831,0.794725,0.80735,0.794525,0.7825,0.7947,0.800125,0.7922,0.787875,0.788625,0.804,0.811125,0.78735,0.7969,0.80075,0.8047,0.8205,0.805475,0.7968,0.8119,0.83205,0.829225,0.896675,0.892475,0.879425,0.8696,0.86565,0.88805,0.880375,0.86895,0.8742,0.890325,0.874175,0.872425,0.871125,0.884,0.90165,0.8757,0.8713,0.8833,0.905,0.910075,0.88265,0.88535,0.898325,0.921475,0.932975,NA,1,0.98595,0.982825,0.98675,1,0.9893,0.97275,0.9721,1,0.987075,0.97185,0.96155,0.9862,1,0.986725,0.97675,0.984725,1,1,0.997,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
9,NC1,9,0.0025,0.580225,0.568025,0.566175,0.569775,0.5564,0.559025,0.5679,0.550425,0.559825,0.56135,0.567125,0.560475,0.56105,0.5716,0.56185,0.5647,0.566725,0.5753,0.570625,0.572425,0.5584,0.563925,0.55985,0.57635,0.573575,0.6493,0.641425,0.6311,0.618125,0.61835,0.6325,0.61945,0.617475,0.61415,0.6213,0.6192,0.62605,0.621475,0.61215,0.626975,0.626825,0.61515,0.61415,0.63285,0.639775,0.620675,0.623275,0.62905,0.635075,0.64315,0.784425,0.76445,0.756775,0.7196,0.71995,0.764075,0.741125,0.723875,0.716,0.734125,0.7547,0.724725,0.70915,0.725625,0.738425,0.72465,0.7166,0.72705,0.748225,0.762375,0.72825,0.736325,0.7449,0.771775,0.7699,NA,1,0.972925,0.94495,0.932,1,0.9621,0.92035,0.893275,0.92545,0.9733,0.92645,0.89515,0.912675,0.949175,0.948425,0.908575,0.918875,0.951775,0.997825,0.926375,0.9371,0.962925,0.985675,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
10,NC1,10,0.005,0.534625,0.49445,0.51035,0.5002,0.502375,0.503925,0.508525,0.49905,0.510025,0.50065,0.51575,0.5115,0.503025,0.510575,0.501275,0.5035,0.512175,0.504,0.51375,0.50345,0.515275,0.506,0.51395,0.505225,0.5083,0.53595,0.5397,0.528125,0.530375,0.53085,0.5333,0.523625,0.528,0.517025,0.530475,0.52755,0.528275,0.514575,0.5304,0.530975,0.53005,0.5313,0.5313,0.54335,0.527575,0.528275,0.53655,0.536175,0.5409,0.55065,0.66075,0.640625,0.62905,0.59465,0.590625,0.644275,0.619675,0.60745,0.595975,0.59975,0.62235,0.600525,0.593475,0.6142,0.6135,0.604625,0.598075,0.5978,0.61605,0.636,0.602425,0.6061,0.621975,0.63825,0.656175,NA,NA,0.9418,0.882175,0.871925,1,0.908375,0.85885,0.816,0.855625,0.94495,0.8665,0.818575,0.836125,0.903725,0.87825,0.83035,0.842875,0.906975,0.983775,0.85505,0.875425,0.910125,0.985525,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
